cid,request.time,timezone,phoneos,configmodule,startTs,startUTCtime,traceid
0MF5DZmadzWgTp06voK4i6Pkxi5UtJXZ,2021-03-25T02:24:49.395Z,America/New_York,iOS14.4,WiFiBTOnboarding_AirPurifier_Core200S_US,1610505033,2021/1/13 2:30,1616639086059
0MJ_vIJ76v-WP1xm02o_-DWOC5Fb3uu9,2021-03-25T02:29:45.393Z,America/Los_Angeles,Android 11,WiFi_Outlet_ESW10-USA,1614819652,2021/3/4 1:00,1616639385759
0MKczZL8q3eo2zD4HUFvb4bbY73T5CJ_,2021-03-25T02:30:07.354Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic300S_US,1612821650,2021/2/8 22:00,1616639407064
0MDE460KB-jJgBxxjFlRTyoBOBOK0-tR,2021-03-25T02:31:01.806Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1610487909,2021/1/12 21:45,1616639460608
0MKdnwnI2aQM--vjRcZttUYFrdDsCel6,2021-03-25T02:39:42.163Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1612581309,2021/2/6 3:15,1616639981764
0MKOhqSSN5X-leItUnYygaJbVbo0sic3,2021-03-25T02:44:29.406Z,America/Denver,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1614517240,2021/2/28 13:00,1616640269055
0MGXQ1ZsRzYtFdMRSmZjYehH6d8vqOZp,2021-03-25T02:50:00.028Z,America/Denver,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1612749602,2021/2/8 2:00,1616640599345
0MGca4BtESFdUK1xxniRWHzT8jbH_P32,2021-03-25T03:00:45.861Z,America/New_York,iOS 14.4.1,WiFi_Outlet_ESW10-USA,1607659247,2020/12/11 4:00,1616641245605
0MOiROvdbd1t-dMW3X_U9MaeZwucDISI,2021-03-25T03:01:57.927Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1320,1970/1/1 0:22,1616641317854
0M-IsRFzdCZh1G5SNk_C8ixwg9_0tYz9,2021-03-25T03:12:24.588Z,America/New_York,iOS 14.4,WiFi_Outlet_ESW10-USA,1605318332,2020/11/14 1:45,1616641944240
0MFA2Yg75jnnxOvRLPXwO_kCuYXrk3aU,2021-03-25T03:12:24.928Z,America/Chicago,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1611972013,2021/1/30 2:00,1616641944770
0MG9Nt66fRZYjJ6S49Nuh54UkX7QKMDW,2021-03-25T03:17:27.553Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1608981356,2020/12/26 11:15,1616642247459
0MKYcFyBUX_goJ7LcX3oDbv4bAtTWZru,2021-03-25T03:25:06.232Z,America/Mexico_City,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,990,1970/1/1 0:16,1616642705883
0MG31KOUvdHuf2Xu9RGnsgUuZA_muDfb,2021-03-25T03:29:31.759Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1608080419,2020/12/16 1:00,1616642971584
0ML82sEcx8feoi5j5QfeEYKs8FoP-f_G,2021-03-25T03:33:48.038Z,America/New_York,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1613692818,2021/2/19 0:00,1616643227758
0MEywLNzHCjgJvPaojXZS_TS0iyVao3F,2021-03-25T03:38:46.872Z,America/New_York,iOS 14.4.1,WiFiBTOnboarding_AirPurifier_Core200S_US,1613535330,2021/2/17 4:15,1616643526625
0MKTGOfdjlXCVnhHfwgEbJ7fltNc2V_c,2021-03-25T03:41:43.031Z,America/Chicago,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1612267213,2021/2/2 12:00,1616643702553
0MCvJhhBoup0j-NoZ-E4GQRQuM4PRsDA,2021-03-25T03:51:59.171Z,America/Chicago,Android 11,WiFi_Outlet_ESW10-USA,1605414636,2020/11/15 4:30,1616644318820
0MKXS8VrjkzEk5-nYfXL2YqX9qX5INcU,2021-03-25T04:03:40.626Z,America/New_York,Android 11,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1612090800,2021/1/31 11:00,1616645020500
0MGcCWOTymXP3p1llUkq1ydRDW0TQs6G,2021-03-25T04:07:32.883Z,America/Los_Angeles,Android 10,WiFi_Outlet_ESW10-USA,1609050230,2020/12/27 6:23,1616645251901
0MN4FV50UUtkhI73e44sxG7dGcBSTxJ4,2021-03-25T04:09:46.903Z,America/Los_Angeles,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1305,1970/1/1 0:21,1616645386500
0MGTFauENTZD24900V1MW9DewDNt5YLr,2021-03-25T04:10:31.079Z,America/Denver,iOS 14.4.1,WiFiBTOnboardingNotify_AirHumidifier_Classic200S_US,1609131629,2020/12/28 5:00,1616645430880
